タイムスタンプ	ファイル名	エラー	メッセージ
2013-10-16 21:29:24.067 +0900	シェアリング計算機.fmp12	0	テーブル「メンバデータ」は、「メンバデータ 2」としてインポートされました。「メンバデータ」というテーブルまたはテーブルオカレンスはすでに存在します。
2013-10-16 21:29:24.117 +0900	メンバデータ 2	0	フィールド インポート済み: 5
2013-10-16 21:29:24.151 +0900	シェアリング計算機.fmp12	0	テーブル インポート済み: 1
2013-10-16 21:29:24.177 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 21:30:21.500 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 21:30:21.542 +0900	参加メンバ	0	フィールド インポート済み: 5
2013-10-16 21:30:21.561 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 21:32:28.131 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-16 21:32:28.169 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-16 21:51:20.818 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-16 21:51:20.845 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 21:51:20.880 +0900	購入商品	0	フィールド インポート済み: 1
2013-10-16 21:51:20.894 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 21:57:53.883 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 21:57:53.915 +0900	購入商品	0	フィールド インポート済み: 1
2013-10-16 21:57:53.935 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 22:02:06.800 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 22:02:06.829 +0900	購入商品	0	フィールド「数量」は、「数量 2」としてインポートされました。「数量」という名前のフィールドはすでに存在します。
2013-10-16 22:02:06.871 +0900	購入商品	0	フィールド インポート済み: 5
2013-10-16 22:02:06.886 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 22:05:24.342 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 22:05:24.374 +0900	メンバ別購入商品	0	フィールド インポート済み: 1
2013-10-16 22:05:24.389 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 22:05:32.338 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 22:05:32.366 +0900	メンバ別購入商品	0	フィールド インポート済み: 1
2013-10-16 22:05:32.390 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 22:05:51.688 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-16 22:05:51.720 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-16 23:33:56.816 +0900	シェアリング計算機.fmp12	0	クリップボードからの スクリプトステップ のインポートを開始しました
2013-10-16 23:33:56.863 +0900	トリガ | メンバ入力画面へ	0	スクリプトステップ インポート済み: 1
2013-10-16 23:33:56.895 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 23:34:14.313 +0900	シェアリング計算機.fmp12	0	クリップボードからの スクリプトステップ のインポートを開始しました
2013-10-16 23:34:14.346 +0900	トリガ | 商品入力画面へ	0	スクリプトステップ インポート済み: 1
2013-10-16 23:34:14.394 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-17 00:24:29.943 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-17 00:24:29.966 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-17 00:24:30.012 +0900	起動情報::ショッピング識別ID	102	計算式「Case ( not IsEmpty( 日付 ) ;Left ( Max ( ショッピング識別ID ) ; 8) & "-" & Right ( Max ( ショッピング識別ID ) + 1 ; 4) ;SerialIncrement ( Year ( 日付 ) & Right ( "0" & Month ( 日付 ) ; 2 ) & Right ( "0" & Day ( 日付 ) ; 2 ) & "-0000" ; 1 ) )」で参照されているフィールドが見つかりません。
2013-10-17 00:24:30.033 +0900	起動情報	0	フィールド インポート済み: 1
2013-10-17 00:24:30.056 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-17 00:27:17.119 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-17 00:27:17.216 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-17 01:05:34.182 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-17 01:05:34.218 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-17 01:05:34.238 +0900	購入商品	0	フィールド インポート済み: 1
2013-10-17 01:05:34.258 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-17 01:05:59.400 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-17 01:05:59.425 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-17 01:06:12.247 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-17 01:06:12.271 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-17 01:06:18.599 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-17 01:06:18.623 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-17 01:06:43.535 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-17 01:06:43.549 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-17 01:17:15.996 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-17 01:17:16.046 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-17 01:17:16.070 +0900	シェアリング計算機	0	フィールド「日付」は、「日付 2」としてインポートされました。「日付」という名前のフィールドはすでに存在します。
2013-10-17 01:17:16.090 +0900	シェアリング計算機	0	フィールド インポート済み: 1
2013-10-17 01:17:16.111 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-17 01:18:25.422 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-17 01:18:25.451 +0900	シェアリング計算機.fmp12	0	==================================================================
